image0.jpg: [(149, 136, 129), (119, 104, 99), (208, 180, 164), (82, 84, 85), (16, 23, 26)]
image1.jpg: [(11, 11, 15), (98, 100, 112), (18, 21, 30), (61, 66, 78), (88, 74, 76)]
image2.jpg: [(34, 24, 14), (92, 81, 55), (119, 110, 79), (60, 50, 33), (16, 12, 8)]
image3.jpg: [(10, 8, 7), (36, 37, 28), (28, 26, 18), (4, 3, 4), (59, 49, 33)]
image4.jpg: [(67, 66, 52), (4, 4, 4), (17, 15, 11), (79, 85, 68), (25, 27, 24)]
image5.jpg: [(65, 61, 46), (8, 8, 8), (15, 15, 13), (4, 3, 4), (99, 104, 89)]
image6.jpg: [(8, 9, 7), (56, 43, 30), (69, 63, 48), (4, 3, 4), (36, 35, 29)]
image7.jpg: [(64, 54, 39), (27, 22, 17), (15, 16, 14), (85, 79, 60), (38, 37, 31)]
image8.jpg: [(80, 80, 66), (12, 9, 8), (116, 119, 98), (33, 33, 27), (21, 20, 17)]
image9.jpg: [(34, 37, 36), (95, 102, 96), (70, 74, 62), (21, 20, 19), (87, 86, 73)]
image10.jpg: [(105, 112, 109), (47, 39, 33), (79, 78, 67), (23, 20, 18), (61, 59, 52)]
image11.jpg: [(72, 66, 49), (51, 45, 34), (34, 35, 27), (15, 16, 14), (116, 114, 89)]
image12.jpg: [(83, 88, 84), (27, 27, 21), (15, 13, 13), (61, 47, 31), (59, 63, 57)]
image13.jpg: [(166, 165, 162), (15, 13, 8), (28, 19, 9), (4, 2, 2), (68, 63, 47)]
image14.jpg: [(0, 0, 0), (35, 26, 7), (11, 7, 2), (5, 0, 1), (20, 15, 6)]
image15.jpg: [(99, 97, 91), (79, 73, 59), (57, 56, 52), (4, 3, 5), (23, 23, 24)]
image16.jpg: [(113, 76, 37), (42, 27, 16), (15, 13, 10), (113, 94, 64), (81, 55, 25)]
image17.jpg: [(31, 16, 9), (71, 39, 20), (47, 34, 20), (87, 70, 45), (10, 3, 4)]
image18.jpg: [(84, 51, 23), (42, 26, 16), (53, 45, 29), (12, 9, 8), (122, 99, 64)]
image19.jpg: [(39, 33, 19), (33, 20, 10), (15, 4, 4), (94, 80, 52), (122, 123, 99)]
image20.jpg: [(16, 49, 79), (4, 14, 23), (3, 10, 18), (21, 61, 96), (3, 5, 9)]
