image0.jpg: [(22, 46, 50), (8, 6, 9), (30, 16, 17), (50, 45, 40), (52, 61, 57)]
image1.jpg: [(12, 29, 34), (5, 4, 5), (38, 48, 49), (30, 31, 30), (7, 14, 17)]
image2.jpg: [(9, 9, 7), (53, 73, 74), (28, 39, 38), (7, 6, 5), (92, 123, 134)]
image3.jpg: [(29, 44, 48), (13, 9, 14), (66, 75, 70), (19, 20, 22), (36, 4, 17)]
image4.jpg: [(33, 28, 27), (11, 15, 19), (7, 6, 8), (29, 45, 49), (80, 82, 75)]
image5.jpg: [(7, 8, 11), (71, 99, 104), (31, 60, 70), (18, 28, 36), (46, 41, 42)]
image6.jpg: [(33, 42, 42), (4, 4, 10), (62, 84, 91), (51, 68, 70), (122, 141, 156)]
image7.jpg: [(57, 77, 94), (28, 34, 36), (10, 18, 25), (76, 89, 99), (72, 78, 80)]
image8.jpg: [(6, 7, 15), (4, 4, 10), (56, 78, 86), (31, 45, 48), (44, 59, 63)]
image9.jpg: [(37, 43, 47), (7, 9, 14), (14, 19, 27), (42, 62, 74), (67, 75, 82)]
image10.jpg: [(46, 71, 53), (9, 17, 23), (34, 35, 37), (77, 79, 82), (98, 113, 127)]
image11.jpg: [(42, 50, 62), (13, 20, 27), (78, 92, 111), (88, 103, 122), (14, 12, 15)]
image12.jpg: [(27, 31, 36), (16, 18, 23), (69, 6, 15), (8, 8, 15), (79, 88, 102)]
image13.jpg: [(53, 2, 9), (113, 128, 141), (86, 94, 102), (15, 18, 27), (9, 10, 16)]
image14.jpg: [(19, 50, 60), (4, 17, 28), (7, 31, 41), (7, 5, 6), (14, 17, 20)]
image15.jpg: [(7, 5, 6), (11, 43, 54), (42, 78, 95), (9, 22, 29), (27, 48, 57)]
image16.jpg: [(10, 35, 46), (7, 6, 7), (21, 49, 60), (17, 13, 16), (6, 18, 26)]
image17.jpg: [(4, 12, 15), (5, 28, 36), (17, 59, 70), (10, 47, 57), (20, 29, 35)]
image18.jpg: [(29, 50, 60), (12, 36, 42), (6, 9, 8), (13, 29, 33), (8, 21, 23)]
image19.jpg: [(29, 48, 52), (6, 30, 36), (11, 19, 21), (7, 17, 19), (8, 17, 20)]
image20.jpg: [(8, 16, 19), (10, 19, 21), (6, 26, 32), (21, 29, 32), (41, 45, 48)]
image21.jpg: [(24, 59, 67), (7, 5, 6), (9, 30, 37), (29, 34, 35), (11, 12, 13)]
image22.jpg: [(3, 27, 35), (4, 42, 57), (9, 35, 45), (5, 18, 22), (16, 28, 21)]
image23.jpg: [(3, 45, 58), (26, 70, 85), (3, 27, 36), (74, 121, 143), (1, 27, 37)]
image24.jpg: [(15, 54, 60), (3, 28, 37), (4, 40, 54), (3, 10, 12), (10, 35, 45)]
