image0.jpg: [(22, 26, 33), (184, 208, 220), (188, 214, 225), (147, 174, 191), (176, 199, 212)]
image1.jpg: [(22, 11, 13), (105, 93, 82), (55, 25, 25), (149, 150, 146), (117, 118, 110)]
image2.jpg: [(64, 43, 44), (189, 193, 193), (98, 83, 77), (78, 70, 66), (40, 24, 26)]
image3.jpg: [(115, 111, 102), (55, 32, 29), (28, 18, 23), (88, 78, 71), (94, 94, 84)]
image4.jpg: [(20, 99, 148), (63, 130, 158), (98, 162, 182), (77, 143, 166), (31, 117, 159)]
image5.jpg: [(72, 140, 162), (62, 137, 160), (2, 60, 111), (84, 154, 177), (10, 84, 126)]
image6.jpg: [(13, 22, 9), (22, 26, 15), (6, 5, 5), (8, 8, 6), (13, 15, 9)]
image7.jpg: [(49, 51, 46), (28, 29, 23), (15, 24, 11), (8, 8, 7), (9, 13, 8)]
image8.jpg: [(50, 54, 51), (8, 9, 6), (38, 40, 37), (9, 14, 8), (5, 4, 5)]
image9.jpg: [(24, 26, 29), (62, 113, 143), (75, 124, 153), (9, 11, 15), (15, 50, 72)]
image10.jpg: [(3, 67, 98), (7, 75, 110), (4, 44, 69), (7, 71, 105), (7, 67, 99)]
image11.jpg: [(5, 36, 57), (1, 14, 21), (4, 20, 30), (15, 61, 89), (5, 11, 17)]
image12.jpg: [(13, 16, 24), (34, 68, 91), (19, 55, 82), (5, 5, 10), (38, 79, 107)]
