image0.jpg: [(2, 3, 9), (19, 41, 45), (60, 81, 72), (49, 48, 47), (100, 139, 135)]
image1.jpg: [(81, 111, 139), (4, 6, 6), (8, 18, 20), (77, 95, 117), (50, 80, 102)]
image2.jpg: [(139, 169, 190), (26, 36, 35), (5, 10, 14), (111, 149, 173), (71, 96, 113)]
image3.jpg: [(39, 45, 47), (55, 69, 72), (80, 85, 84), (111, 128, 131), (15, 20, 23)]
image4.jpg: [(129, 154, 171), (89, 84, 84), (123, 130, 123), (101, 109, 112), (73, 63, 57)]
image5.jpg: [(39, 43, 47), (84, 78, 75), (96, 105, 100), (10, 17, 22), (114, 122, 113)]
image6.jpg: [(14, 21, 33), (11, 7, 6), (14, 39, 60), (8, 29, 47), (8, 22, 36)]
image7.jpg: [(12, 8, 9), (8, 4, 5), (10, 6, 6), (3, 13, 25), (15, 12, 16)]
image8.jpg: [(4, 41, 63), (6, 30, 46), (5, 10, 16), (5, 22, 35), (7, 5, 9)]
image9.jpg: [(5, 42, 64), (3, 22, 35), (3, 16, 28), (1, 33, 54), (2, 9, 17)]
image10.jpg: [(1, 49, 72), (1, 52, 74), (0, 48, 71), (1, 48, 70), (1, 13, 23)]
image11.jpg: [(0, 53, 73), (0, 45, 54), (6, 29, 36), (2, 21, 28), (0, 52, 70)]
image12.jpg: [(21, 17, 21), (8, 36, 45), (7, 38, 48), (3, 13, 22), (3, 31, 41)]
image13.jpg: [(5, 31, 44), (5, 33, 46), (20, 31, 41), (11, 35, 48), (3, 86, 117)]
image14.jpg: [(0, 24, 34), (6, 34, 44), (0, 27, 39), (1, 26, 37), (0, 24, 36)]
image15.jpg: [(5, 38, 51), (13, 39, 49), (20, 40, 48), (6, 17, 23), (1, 7, 13)]
image16.jpg: [(4, 101, 102), (1, 11, 14), (1, 3, 6), (2, 67, 66), (1, 58, 58)]
image17.jpg: [(1, 29, 26), (6, 8, 7), (7, 7, 5), (3, 24, 21), (7, 17, 14)]
image18.jpg: [(6, 8, 7), (3, 20, 19), (1, 30, 27), (1, 47, 43), (4, 93, 87)]
image19.jpg: [(1, 54, 60), (0, 17, 36), (1, 40, 51), (2, 26, 42), (1, 14, 33)]
image20.jpg: [(0, 44, 51), (1, 18, 36), (1, 29, 48), (1, 23, 45), (3, 11, 20)]
